;56258
"Medewerker RDMZ

In dienst gekomen in 1973
Met pensioen gegaan in 1996.

Geboren: 25 oktober 1931, Arnhem
Overleden: 19 november 2024, Renkum

ir. Gerrit Berends - Dik - 
Weduwnaar van Catharina Rosina Ploeg

Stichting Bouwhistorie Nederland (SBN) schrijft over Dik: 

Via zijn docent E.H. ter Kuile kwam hij in 1963 in dienst bij de Rijksdienst voor de Monumentenzorg. Daar werd hij collega van Herman Janse in een afdeling die Bouwkundig Onderzoek en Documentatie ging heten, en waar men zich bezig hield met de documentatie van bij de vele toenmalige restauraties aan het licht komende bouwhistorische vondsten. Na verhuizing van de Rijksdienst van Den Haag naar Zeist in 1973 werden onder leiding van Dik zogeheten documentatievergaderingen georganiseerd. Daar konden medewerkers, en al snel ook sprekers van buiten, van gedachten wisselen over hun recente onderzoeksprojecten. In 1987 ging dit forum het Bouwhistorisch Platform heten.

Gedegen waren zijn publicaties die met regelmaat in het Bulletin KNOB verschenen, zoals over ‘Drie huizen van het Gemene Leven in Deventer’ (1966). Een vergelijkbaar intens bouwhistorische publicatie over het stadhuis in die stad kwam in een bewerking in een bundel over dit gebouw (1982), omdat men vond dat het wel veel van de kennis van de leek vroeg. Ook andere gebouwen en onderwerpen werden scrupuleus onder de loep genomen. Zijn visie op de St.-Servaaskerk in Maastricht bleef helaas steken in het stadium van aantekeningen. Succesvol was het werk van Dik als lid van de technische commissie van de SHBO dat leidde tot een publicatie over houtbenamingen in 1973, in 1996 bewerkt tot Historische houtconstructies in Nederland.

Bij zijn pensionering in 1996 verscheen de bundel Monumenten en bouwhistorie. Daarin kwam tot uiting dat Dik, een flinke groep onderzoekers aan zich had weten te binden. Op zijn bescheiden wijze droeg Dik jarenlang bij als redactielid van de Nieuwsbrief SBN en maakte de registers voor het Bulletin KNOB. Na jarenlang voor zijn zieke vrouw te hebben gezorgd, bezocht Dik na haar dood weer de Bouwhistorische Platforms en toogdagen van de SBN.

In die jaren werkte hij aan een oude liefde; de historische lengtematen. Dit resulteerde in 2017 tot zijn, in eigen beheer uitgegeven, magnum opus Van Punt tot Mijl. De vroegere voet-, roede- en mijlmaten in Nederland. Ondanks zijn gevorderde leeftijd bleek het mogelijk om een tussen 1959 en 1973 uitgevoerd onderzoek naar de toen afgebroken huizen in de Benedenstad van Nijmegen om te werken en klaar te maken voor publicatie in het Bulletin KNOB in 2024. Daarmee ging een laatste wens in vervulling. Een waardige afsluiting van een lang leven waarin de bouwhistorie een grote rol heeft gespeeld: ter inspiratie voor velen.
";476
Molenspecialist;1
Nicolaas van der Schaft was beeldhouwer.;7
"Paul Henri Nicolaas Briët - architect

Geboren 23 januari 1894, Nunspeet
Overleden: 17 februari 1978, Hilversum

";25
Restauratiearchitect;73
"SHBO fotograaf heeft gewerkt voor het openluchtmuseum van 1948-1968 
afbeeldingen openbaar met toestemming, zie Proza

 51 afbeeldingen openbaar met toestemming, zie Proza";34
"SHBO fotograaf heeft gewerkt voor het openluchtmuseum van 1956-1984
afbeeldingen openbaar met toestemming, zie Proza";9
"SHBO fotograaf heeft gewerkt voor het openluchtmuseum van 1959-1990
afbeeldingen openbaar met toestemming, zie Proza";35
"SHBO fotograaf heeft gewerkt voor het openluchtmuseum van 1964-1988
afbeeldingen openbaar met toestemming, zie Proza";3
"SHBO fotograaf heeft gewerkt voor het openluchtmuseum van 1988-2019
afbeeldingen openbaar met toestemming, zie Proza
 ";1
"SHBO medewerker. Maakte vooral reproducties van bestaande foto's.
heeft gewerkt voor het openluchtmuseum van 1942-1971
afbeeldingen openbaar met toestemming, zie Proza";3
SHBO, van deze fotograaf heeft de RCE de rechten van de SHBO foto's.;64
"SHBO.
J.A. van Beelen heeft voor de NOM / SHBO gefotografeerd tussen 1944-(30-11-)1979. Voor 1944 heeft hij ook nog iets gedaan voor de NOM, maar over dat gedeelte hebben we (nog) niet de rechten. ";8
Sint Annaparochie;2
