1975;14
1964;10
1999;20
1941;4
;0
1900;1
1978;32
1936;1
1919;1
1957;2
1971;8
1968;10
1980;42
1988;34
1972;20
1952;3
1948;1
1955;1
1938;1
1996;76
1907;1
1951;6
0000;44
1965;10
1976;27
1966;6
1985;37
1949;3
1960;1
1990;50
2000;2
1958;4
1953;5
1979;27
1963;8
1984;19
1959;9
1961;13
1942;2
1950;5
1977;12
1969;11
1970;11
1967;20
1935;1
1954;1
1891;1
1982;18
1983;18
1947;2
1994;36
1923;3
1933;3
1981;23
1986;13
1962;6
1931;3
1917;1
1888;1
1956;3
1987;17
1840;1
1992;35
1993;22
1974;19
1842;1
1997;67
1927;2
1973;34
1991;49
2001;2
1930;2
1989;47
1998;37
1995;51
NULL;1733
