;891
pen en penseel in gekleurde inkt, met wit gehoogd;1
pen en penseel in grijs;1
pen en penseel in grijs en zwart;1
pen en penseel in grijs, grijs gewassen;2
pen en penseel in kleuren;11
pen en penseel in kleuren op potloodschets;1
pen en penseel in kleuren over potlood;1
pen en penseel in zwart en grijs;7
pen en penseel in zwart en grijs, grijs gewassen;2
pen en penseel in zwart en rood op calque;1
pen en penseel in zwart, grijs gewassen;3
pen en pensel in bruin, bruin gewasssen;1
pen in  zwart;2
pen in  zwart, grijs gewassen en aquarel;1
pen in blauwe inkt of waterverf, blauw gewassen;1
pen in bruin;37
pen in bruin en aqaurel;1
pen in bruin en aquarel;19
pen in bruin en aquarel op linnen;4
pen in bruin en grijs gewassen;2
pen in bruin en grijs, grijs gewassen en aquarel in blauw;1
pen in bruin en rood en aquarel;1
pen in bruin en zwart, bruin en grijs gewassen;1
pen in bruin en zwart, gewassen met kleuren;1
pen in bruin en zwart, penseel in grijs en grijs gewassen;1
pen in bruin en zwart/grijs, gewassen met kleuren;1
pen in bruin op calque;1
pen in bruin, aquarel;1
pen in bruin, blauw gewassen;1
pen in bruin, bruin gewassen;10
pen in bruin, bruin gewassen en aquarel;1
pen in bruin, bruin gewassen, rood krijt;1
pen in bruin, bruin, grijs en zwart gewassen;1
pen in bruin, gewassen met kleuren;4
pen in bruin, gewassen met o.i.-inkt;1
pen in bruin, grijs en blauw gewassen;1
pen in bruin, grijs gewassen;20
pen in bruin, grijs gewassen en aquarel;1
pen in bruin, grijs gewassen over potloodschets;1
pen in bruin, met kleuren gewassen;2
pen in bruin, penseel in grijs en grijs gewassen;1
pen in bruin, penseel in grijs, bruin en grijs gewassen;1
pen in bruin, penseel in grijs, grijs gewassen;5
pen in bruin, penseel in kleuren;1
pen in bruin, penseel in kleuren en gewassen met kleuren;1
pen in bruin, potlood;1
pen in bruin, rood krijt;2
pen in bruin, zwart en grijs gewassen;1
pen in bruin-rood en gewassen met bruin-rood;1
pen in bruine en grijze inkt, gewassen in kleuren, gehoogd met witte dekverf;1
pen in bruine inkt en bruin gewassen;1
pen in bruine inkt en grijs gewassen, enig penseelwerk in grijs, sporen van potlood;1
pen in bruine inkt, bruin en grijs gewassen, accenten in grijze inkt;1
pen in bruine inkt, gewassen met kleuren;2
pen in bruine inkt, penseel in grijs en grijs gewassen;2
pen in grijs;4
pen in grijs en aquarel;6
pen in grijs en aquarel op calque;1
pen in grijs en bruin, grijs gewassen;1
pen in grijs en bruin, grijs gewassen en aquarel;1
pen in grijs en zwart en aquarel;2
pen in grijs, blauw gewassen;1
pen in grijs, bruin gewassen;4
pen in grijs, gewassen met kleuren;3
pen in grijs, gewassen met kleuren over een schets in;1
pen in grijs, grijs en blauw gewassen;1
pen in grijs, grijs gewassen;9
pen in grijs, grjs gewassen;1
pen in grijs, met kleuren gewassen;1
pen in grijs, penseel in bruin en bruin gewassen;1
pen in grijs, penseel in kleuren;3
pen in grijze en gekleurde inkt, penseel in kleuren, in kleuren gewassen en met wit gehoogd;3
pen in lichtbruine inkt;1
pen in rood;1
pen in rood en aquarel;2
pen in rood en blauw en aquarel;1
pen in verschillende kleuren;1
pen in zwart;156
pen in zwart en aquarel;135
pen in zwart en aquarel in blauw;1
pen in zwart en aquarel in rood;1
pen in zwart en aquarel in rood en geel;1
pen in zwart en aquarel op calque;8
pen in zwart en aquarel op calque, opgeplakt op papier;3
pen in zwart en aquarel op linnen;2
pen in zwart en aquarel, op linnen;1
pen in zwart en blauw en aquarel;2
pen in zwart en bruin;2
pen in zwart en bruin en aquarel;1
pen in zwart en bruin, gewassen met kleuren;1
pen in zwart en bruin, grijs gewassen;1
pen in zwart en grijs en aquarel;1
pen in zwart en grijs, gewassen met kleuren;1
pen in zwart en grijs, grijs gewassen;1
pen in zwart en inkt in rood;1
pen in zwart en kleurpotlood;1
pen in zwart en rood;15
pen in zwart en rood en aquarel;3
pen in zwart en rood op calque;4
pen in zwart en rood op calque, opgeplakt op karton;1
pen in zwart en rood, bruin en grijs gewassen;1
pen in zwart met aquarel op calque;1
pen in zwart op calque;31
pen in zwart op calque, opgeplakt op papier;2
pen in zwart op een schets in potlood;1
pen in zwart over potlood, bruin en grijs gewassen;1
pen in zwart, aquarel;1
pen in zwart, aquarel in oranje op calque, opgeplakt op;1
pen in zwart, aquarel in roze;1
pen in zwart, bruin en grijs gewassen;1
pen in zwart, bruin gewassen;9
pen in zwart, gewassen in kleuren;3
"pen in zwart, gewassen in kleuren; de toegevoegde variant: pen in zwart, gewassen in grijs";1
pen in zwart, gewassen met kleuren;2
pen in zwart, gewassen met kleuren en penseel in grijs;1
pen in zwart, grijs en bruin gewassen;1
pen in zwart, grijs en bruin gewassen en aquarel;1
pen in zwart, grijs en zwart gewasssen;1
pen in zwart, grijs gewassen en aquarel;32
pen in zwart, grijs gewassen op calque;1
pen in zwart, grijs gewassen op calque, opgeplakt op;1
pen in zwart, grijs gewasssen en aquarel;1
pen in zwart, ingekleurd;2
pen in zwart, inkt;1
pen in zwart, met kleuren gewassen;4
pen in zwart, met kleuren gewassen over een potloodschets;1
pen in zwart, op calque;1
pen in zwart, op linnen;1
pen in zwart, penseel in en gewassen met kleuren;1
pen in zwart, penseel in grijs;10
pen in zwart, penseel in grijs en gewassen met bruin en;1
pen in zwart, penseel in grijs en gewasssen in grijs en;1
pen in zwart, penseel in grijs en grijs gewassen;7
pen in zwart, penseel in grijs en zwart, grijs gewassen;1
pen in zwart, penseel in grijs, grijs en zwart gewassen;2
pen in zwart, penseel in grijs, grijs gewassen;1
pen in zwart, penseel in kleuren en gewassen met zwart en;1
pen in zwart, penseel in zwart en grijs;1
pen in zwart, rode en gele aquarel op calque;1
pen in zwart, zwart gewassen en aquarel;2
pen in zwart, zwart krijt, pastel en aquarel;1
pen in zwarte inkt;1
pen in zwarte inkt, gewassen in kleuren;1
pen in zwarte inkt, gewassen met kleuren;1
pen in zwarte inkt, grijs gewassen;18
pen in zwarte inkt, grijs gewassen, grafiet;10
pen in zwarte inkt, grijs gewassen, sporen van grafiet;2
pen in zwarte inkt, penseel in kleuren en gewassen in kleuren;1
pen in zwarte inkt, penseel in kleuren, gewassen met kleuren;1
pen op calque, geplakt op lompenpapier;1
pen zwart, grijs gewassen;1
pen, grijs gewassen;1
pen, penseel en gewassen in kleuren;1
pen, penseel en gewassen in o.i.-inkt;1
pen, penseel en gewassen met o.i.-inkt;2
penin zwart en aquarel;1
penlitho;3
penlithografie;12
penseel in bruin;2
penseel in bruin en grijs;1
penseel in bruin over een potloodschets;1
penseel in bruin, bruin gewassen;1
penseel in grijs, grijs gewassen;1
penseel in kleuren;1
penseel in kleuren over potloodschets;1
penseel in zwaret en grijs, grijs gewassen;1
pn in bruin, gewassen met kleuren;1
polood en aquarel;1
potlood;1
potlood en aquarel in groen;1
potlood en aquarel in groen en rood;1
potlood en aquarel in groen-goudverf;2
potlood en aquarel op calque;6
potlood en aquarel op calque, opgeplakt op papier;1
potlood en aquarel, geplakt op karton;1
potlood en aquarel, opgeplakt op karton;10
potlood en grijs gewassen;1
potlood en houtskool;1
potlood en ingekleurd;2
potlood en inkt in bruin;1
potlood en inkt in zwart op calque;1
potlood en kleurpotlood;13
potlood en kleurpotlood in paars;1
potlood en kleurpotlood op calque;1
potlood en krijt;17
potlood en pen;7
potlood en pen in bruin;6
potlood en pen in o.i.-inkt;1
potlood en pen in zwart;37
potlood en pen in zwart en aquarel;1
potlood en pen in zwart en rood op calque, opgeplakt op;12
potlood en pen in zwart met aquarel;1
potlood en pen in zwart op calque;4
potlood en pen in zwart op calque, geplakt op papier;1
potlood en pen in zwart op calque, opgeplakt op papier;13
potlood en pen in zwart, op calque en op papier;1
"potlood en pen in zwart; calque";1
potlood en pen op calque;6
potlood en perkament;1
potlood en rood krijt;1
potlood en roze aquarel;1
potlood en zwart krijt;13
potlood en zwart krijt, bruin en grijs gewassen;1
potlood en zwart krijt, pen in bruin en met wit gehoogd;1
potlood en zwart krijt, penseel in grijs, grijs gewassen;1
potlood en zwart krijt, penseel in zwart en grijs;1
potlood en zwart krijt, penseel in zwart en grijs, grijs;1
potlood en/of zwart krijt;14
potlood en/of zwart krijt, penseel in grijs en grijs;1
potlood in blauw en zwart;1
potlood in grijs en bruin;1
potlood in pen in zwart en rood;1
potlood in zwart en blauw;1
potlood in zwart en rood;1
potlood in zwart en rood op calque;1
potlood op calque;27
potlood op calque, opgeplakt op papier;4
potlood op passepartout;1
potlood, aquarel en sepia;1
potlood, bruin en grijs gewassen;2
potlood, bruin gewassen;13
potlood, bruin-grijs gewassen;1
potlood, cont‚ potlood en aquarel;1
potlood, enig penseelwerk in grijs en grijs gewassen;1
potlood, gedrukt en ingekleurd;1
potlood, gewassen met kleuren en pen in zwart;1
potlood, ingekleurd;2
potlood, ingekleurd op calque;7
potlood, inkt in zwart en aquarel;3
potlood, krijt en aquarel;1
potlood, met kleuren gewassen;2
potlood, op karton geplakt;1
potlood, opgeplakt op karton;3
potlood, pen en aquarel;21
potlood, pen en bruin en aquarel;1
potlood, pen en gele aquarel op calque;1
"potlood, pen en inkt in rood en aquarel; papier op linnen";1
potlood, pen en roze aquarel;1
potlood, pen in bruin;3
potlood, pen in bruin en aquarel;1
potlood, pen in bruin en gewassen met kleuren;1
potlood, pen in bruin en grijs gewassen;1
potlood, pen in bruin en zwart, gewassen met kleuren;1
potlood, pen in bruin, penseel in zwart en grijs gewassen;1
potlood, pen in grijs, penseel en gewassen met kleuren;1
potlood, pen in zwart;1
potlood, pen in zwart en aquarel;5
potlood, pen in zwart en blauw ingekleurd;2
potlood, pen in zwart en grijs gewassen;2
potlood, pen in zwart en sommige aquarel;1
potlood, pen in zwart op calque, opgeplakt op papier;2
potlood, pen in zwart, grijs en bruin en aquarel;1
potlood, pen in zwart, grijs gewassen;2
potlood, pen in zwart, inkt in zwart, grijs en bruin;1
potlood, penseel in bruin en bruin gewassen;1
potlood, penseel in bruin en grijs, bruin en grijs;1
potlood, penseel in grijs, grijs gewassen;3
potlood, penseel in kleuren en met kleuren gewassen;1
potlood, rood en zwart krijt, grijs gewassen;1
potlood, zwart krijt en aquarel;2
potlood, zwart krijt en bruin gewassen;1
potlood, zwart krijt en penseel in grijs;1
potlood,grijs gewassen;1
potlood,penseel in kleuren en met kleuren gewassen;1
potood en pen in zwart op calque, opgeplakt op papier;1
reproductie cont‚-tekening;1
rode zegellak op visitekaartje, opgeplakt;1
rood krijt;3
rood krijt, pen in bruin en zwart, penseel en gewassen;1
rood krijt, pen in zwart en grijs gewassen;1
staalgravure, gedrukt;76
transparant papier, achterzijde rood krijt, potlood;1
transparant papier, met rood krijt gekleurd, met potlood getekend;1
zwart en rood krijt;1
zwart en rood krijt, penseel in rood en grijs;1
zwart en wit krijt op blauw grijs papier;1
zwart krijt;17
zwart krijt en penseel;1
zwart krijt en penseel in grijs;1
zwart krijt, bruin en bruin-grijs gewassen;1
zwart krijt, bruin gewassen;1
zwart krijt, grijs gewassen;7
zwart krijt, grijs gewassen en aquarel;2
zwart krijt, pen en penseel in grijs;1
zwart krijt, pen in bruin en bruin gewassen;1
zwart krijt, penseel in grijs, grijs gewassen;1
