table_catalog;table_schema;table_name;column_name;ordinal_position;column_default;is_nullable;data_type;character_maximum_length;character_octet_length;numeric_precision;numeric_precision_radix;numeric_scale;datetime_precision;interval_type;interval_precision;character_set_catalog;character_set_schema;character_set_name;collation_catalog;collation_schema;collation_name;domain_catalog;domain_schema;domain_name;udt_catalog;udt_schema;udt_name;scope_catalog;scope_schema;scope_name;maximum_cardinality;dtd_identifier;is_self_referencing;is_identity;identity_generation;identity_start;identity_increment;identity_maximum;identity_minimum;identity_cycle;is_generated;generation_expression;is_updatable
gdm-bron-db;boneinfo;Taxon concepten (2);Id;1;None;NO;integer;None;None;32;2;0;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;int4;None;None;None;None;1;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;boneinfo;Taxon concepten (2);wetenschappelijke_naam;2;None;YES;character varying;255;1020;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;varchar;None;None;None;None;2;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;boneinfo;Taxon concepten (2);uninomial;3;None;YES;character varying;255;1020;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;varchar;None;None;None;None;3;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;boneinfo;Taxon concepten (2);specific_epithet;4;None;YES;character varying;255;1020;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;varchar;None;None;None;None;4;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;boneinfo;Taxon concepten (2);infra_specific_epithet;5;None;YES;character varying;255;1020;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;varchar;None;None;None;None;5;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;boneinfo;Taxon concepten (2);soortnaam;6;None;YES;character varying;255;1020;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;varchar;None;None;None;None;6;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;boneinfo;Taxon concepten (2);soortnaam2;7;None;YES;character varying;255;1020;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;varchar;None;None;None;None;7;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;boneinfo;Taxon concepten (2);authorship;8;None;YES;character varying;255;1020;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;varchar;None;None;None;None;8;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;boneinfo;Taxon concepten (2);nederlandse_naam;9;None;YES;character varying;255;1020;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;varchar;None;None;None;None;9;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
gdm-bron-db;boneinfo;Taxon concepten (2);rang;10;None;YES;character varying;255;1020;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;gdm-bron-db;pg_catalog;varchar;None;None;None;None;10;NO;NO;None;None;None;None;None;NO;NEVER;None;YES
