;47544
Vereniging Hendrick de Keyser;22
Verwarming;3
Vierkantconstructies;7
Voetenwarmer;1
Voordeuren;8
Voordeuromlijstingen;1
Vormpersen van plaatijzer;1
Vouwluiken;2
Waag;1
Wagenberging;5
Wandbetimmeringen;1
Washok;1
Waterlandse houtbouw;145
Weeshuis;13
Werfhuizen;114
Werkplaatsen;3
Wevershuizen;2
Wierschuur;1
Wijdewormer;1
Windmolen op NOM-terrein;17
Winkel;2
Winkel/woonhuizen;2
Winkelpuien;2
Winkelpuien 19de eeuw;12
Woning;34
Woon/winkelhuizen;20
Woonhuis-winkel;1
Woonhuizen;348
Woonhuizen annex garages;2
Woonhuizen/boerderijen;1
Woonhuizen/winkels;10
Woonvierkanten;2
Woudstreek;1
Zaanse houtbouw;4
Zuil;1
aardappelschuur;4
accijnshuizen;1
afdaken;1
arbeiderswoning;173
archiefruimten;1
architraaf;1
armenhuis;2
bakhuizen;8
balusters;1
begraafplaatsen;1
bejaardentehuis;1
bijgebouwen;3
bliksemafleidingen;3
blinden;1
boerderijen;11610
boerderijtypen;6
bollenschuur;5
bordestrappen;4
borgen;11
bouwhoeven;1
bouwhuizen;10
bruggen;6
buitenplaatsen;342
consistorie;2
dakgootdetails;1
dakgoten;3
deuren;8
deurkloppers;2
donjons;1
doopboog;1
doophek;1
doorsneden;1
duiventorens;6
edelmanshuizen;3
empireramen;1
fruitbewaarplaats;3
galmgaten;1
gasthuizen;62
gemalen;1
gemeenlandshuizen;5
geschutstorens;1
gevelankers;1
gootconsole;1
gootversieringen;1
graanmaalderijen;2
graanschuren;2
graanschuur;2
graftomben;2
grafzerken;1
hang- en sluitwerk;3
havezathen;3
heerenlogement;1
hekken;4
herenbanken;1
herenhoeven;2
herenhuizen;3
hoektorens;1
hofje;1
hooibergen;24
houtloods;1
houtskeletbouw;1
inrijpoorten;1
insignes;1
interieurs: houten wanden;3
kaarten;6
kaartsymbolen;1
kaaspakhuizen;1
kadastrale kaarten;6
kantoorgebouw;1
kapbergen;1
kapconstructies;1
kapelhuizen;1
kapellen;24
karnhuizen;6
karnmolen;2
karnmolens;4
kassen;2
kasteelboerderijen;2
kasteelr;2
kasteelruïnes;37
kastelen;733
kathedraal;1
kerkbanken;1
kerken;1100
kerktorens;122
keukens;2
klokkenstoelen;3
kloostergang;6
koetshuizen;3
koorhekken;2
koperen voorwerp;1
korenmolens;1
kozijnen;4
kuiperij;5
landhuizen;33
lantaarns;2
lantarenpaal;1
looproosters;2
minuutplannen;3
molenrestanten;1
musea;21
muurankers;1
muurschilderingen;28
offerblokken;3
oranjerieën;9
orgel;2
orgels;5
parken;5
pastorie;4
pastorieën;3
pelmolens;11
pinakel;1
plaggenhutten;25
plattegronden;66
pomp;1
poortgebouwen;5
poortjes;1
poorttorens;1
preekstoelen;4
raadhuizen;7
ramen;1
reconstructies;1
ridderzalen;1
rietbergen;1
rosmolens;1
ruïnes;1
ru�ne;31
schandpaal;1
scharnieren;3
scheepswerf;4
schoorsteenkappen;1
schouw;3
schouwen;4
schuren;614
schuttersdoelen;5
sleutelstenen;2
sluitwerk;1
spalierhekken;2
stadhuizen;9
stadsmuren;1
stadspoort;8
stadspoorten;7
steenformaten;1
steunberen;1
stookhuizen;7
stookhutten;2
straatbeelden;1
stucplafonds;2
synagoge;5
synagogen;7
tabaksschuur;19
tabouretten;2
tekeningen;159
tjaskers;1
toegangshekken;3
tolhuis;2
topgevellijsten;7
torenbekroningen;1
torenhanen;1
torenkruis;1
torenmolens;2
torens;12
torenspitsen;2
trapgevel;1
traptoren;1
tuinmuur;1
tuinpriëlen;4
universiteitsgebouwen;1
vakwerkhuizen;2
varkenshok;6
varkenshokken;5
veestallen;1
vensters;1
voordeuromlijstingen;2
wagenschuren;7
waltorens;1
watermolens;12
waterradmolen;38
watertoren;1
weerhanen;1
windmolens;66
windvaan;1
windveren;7
woonhuizen;68
zuilen;1
