;1147
Adlib priref POT;4173
Historisch afbeeldingsnummer POT;1
Historisch nummer;86
Negatiefnummer;3
Negatiefnummer bij deze foto van prent;1
Nummer Prenten en Oude Tekeningen (POT);1
Oud POT nummer;1
Ten Bruggencate nr.;232
tsoort;1
