1967;299
1680;1
2011;1122
1965;241
1667;1
1909;11
1949;274
1864;4
1851;3
1881;47
2088;1
1888;60
1918;18
1917;27
1946;22
1875;3
1998;668
1976;316
1972;241
1618;1
1868;4
2007;1177
1927;48
1929;31
234;1
1902;3
1961;305
1867;13
1952;73
1;1
2001;645
1860;2
810;1
1893;3
1852;4
1858;1
1873;2
1910;23
1999;785
1950;302
1847;13
1937;68
1957;287
1955;202
1900;8
2102;1
27;1
1959;183
1907;17
1964;362
1969;236
;0
1845;31
1838;6
1800;1
1889;6
1989;618
1991;836
1828;1
1855;1
1974;227
1009;1
1898;7
1935;45
1977;472
1971;428
1198;1
1772;1
1861;4
314;1
1856;1
1983;542
1899;5
1891;3
2009;1221
1840;13
1958;201
1836;1
1973;436
2013;699
1696;5
2003;863
1933;112
1063;1
1877;7
1953;105
1903;14
1892;3
1854;3
1912;23
1997;765
1823;1
1905;9
1886;2
1848;6
1883;7
1862;1
1897;73
1894;3
1844;16
2016;1
999;2
200;1
1874;11
1963;255
1994;701
2014;523
1872;5
1928;44
876;1
1924;72
1866;7
1987;504
1308;1
1878;18
1682;1
2000;670
202;1
1834;1
1948;89
1932;52
1908;37
1985;939
1941;26
1947;85
1938;39
1865;114
1895;11
1911;23
1925;43
1906;6
1960;224
19;3
1951;285
1915;9
1966;301
1981;384
9999;9
1916;6
1978;524
1944;50
1968;317
506;1
2006;1274
1962;306
1024;1
1070;1
1656;2
1926;51
1780;1
1923;88
2012;951
1032;1
1954;205
1820;2
1896;3
1988;1062
1841;14
2008;1417
1945;31
0;209
1870;5
205;1
1943;17
1681;2
1940;44
1956;200
1890;4
1984;335
213;1
1655;1
1794;1
1849;3
1934;36
2005;2328
1913;8
1876;5
1885;4
1869;2
1914;12
1904;7
2015;201
1641;1
1930;88
1843;5
1990;652
1993;743
2002;897
1880;13
1979;411
2004;1343
1837;4
1882;16
1980;376
1842;5
1919;5
1871;8
1776;1
1859;2
1922;13
1839;7
1793;2
199;1
1921;18
1986;783
1936;53
1975;258
1970;388
1982;273
1901;3
1942;28
1884;3
1850;6
1995;806
1992;890
1846;14
1920;18
1879;2
2010;1137
2045;1
1887;11
1939;42
1931;44
1996;814
NULL;289
