kolom_naam;record_aantal;tabel_naam;aantal_veldwaarden_met_null;aantal_lege_veldwaarde;aantal_veldwaarden_met_lege_lijst;totaal_aantal_veldwaarden;aantal_uunieke_veldwaarden;percentage_unieke_veldwaarden;kolom_is_leeg;veldwaarde_is_uuid;veldwaarde_is_url;veldwaarde_is_email;veldwaarde_is_int;veldwaarde_is_float;veldwaarde_is_bool;veldwaarde_is_dict;veldwaarde_bevat_html;veldwaarde_is_date;veldwaarde_is_str;aantal_decimalen;grootste_int_waarde;langste_str_waarde;primaire_sleutel;vreemde_sleutel;gerelateerde_tabel_naam;gerelateerde_kolom_naam
Habitatrichtlijn 2;2956;Hogere_planten;0;0;0;4;1;0.25;False;0;0;0;4;0;0;0;0;0;0;0;1;4;false;false;;
Conventie van Bern;2956;Hogere_planten;0;0;0;3;1;0.33;False;0;0;0;3;0;0;0;0;0;0;0;1;4;false;false;;
Rode Lijst Europa;2956;Hogere_planten;0;0;0;6;3;0.5;False;0;0;0;0;0;0;0;0;0;6;0;0;4;false;false;;
Flora 1996;2956;Hogere_planten;0;0;0;2917;2;0.0;False;0;0;0;0;0;0;0;0;0;2917;0;0;4;false;false;;
UFK 1940;2956;Hogere_planten;0;0;0;1516;10;0.01;False;0;0;0;1516;0;0;0;0;0;0;0;1;4;false;false;;
UFK 1990;2956;Hogere_planten;0;0;0;1516;10;0.01;False;0;0;0;1516;0;0;0;0;0;0;0;1;4;false;false;;
Uurhok norm 1950;2956;Hogere_planten;0;0;0;1408;626;0.44;False;0;0;0;1408;0;0;0;0;0;0;0;4;4;false;false;;
Uurhok norm 1980;2956;Hogere_planten;0;0;0;1408;628;0.45;False;0;0;0;1408;0;0;0;0;0;0;0;4;4;false;false;;
Atlas;2956;Hogere_planten;0;0;0;1561;6;0.0;False;0;0;0;1456;0;0;0;0;0;105;0;1;4;false;false;;
Uurhok vari 1950;2956;Hogere_planten;0;0;0;93;77;0.83;False;0;0;0;93;0;0;0;0;0;0;0;4;4;false;false;;
Uurhok vari 1980;2956;Hogere_planten;0;0;0;93;74;0.8;False;0;0;0;93;0;0;0;0;0;0;0;4;4;false;false;;
Herkomst 1;2956;Hogere_planten;0;0;0;2739;70;0.03;False;0;0;0;2739;0;0;0;0;0;0;0;3;4;false;false;;
Herkomst 2;2956;Hogere_planten;0;0;0;238;41;0.17;False;0;0;0;238;0;0;0;0;0;0;0;3;4;false;false;;
Herkomst 3;2956;Hogere_planten;0;0;0;71;23;0.32;False;0;0;0;71;0;0;0;0;0;0;0;3;4;false;false;;
Standaardlijst Belgie;2956;Hogere_planten;0;0;0;1390;3;0.0;False;0;0;0;0;0;0;0;0;0;1390;0;0;4;false;false;;
Laatste waarneming;2956;Hogere_planten;0;0;0;68;50;0.74;False;0;0;0;68;0;0;0;0;0;0;0;4;4;false;false;;
Areaalligging;2956;Hogere_planten;0;0;0;1422;5;0.0;False;0;0;0;0;0;0;0;0;0;1422;0;0;4;false;false;;
Voorkomen M Europa;2956;Hogere_planten;0;0;0;1421;6;0.0;False;0;0;0;1378;0;0;0;0;0;43;0;1;4;false;false;;
