tabel_naam;kolom_aantal;kolom_lijst;record_aantal;database_naam
Akkeronkruiden Karl;4;"[""Id"", ""1"", ""2""]";97;radar
Archeoregio;3;"[""ARCHREGIO"", ""Regio_ID""]";17;radar
Dates;5;"[""Recno"", ""Omschrijving"", ""Culturen"", ""Datering""]";48;radar
FEATURES;11;"[""Site nr"", ""Feature nr"", ""Feature code"", ""Feature type"", ""Begin date"", ""End date"", ""Local phase"", ""Cultural period"", ""Remarks"", ""BIAX_ID""]";6240;radar
halofyten_glycofyten;3;"[""NAME"", ""HALOGLYCO""]";39;radar
Hogere_planten;144;"[""Id"", ""Soortnummer"", ""Groepnummer"", ""Wetenschappelijke naam"", ""Auteursnaam"", ""Nederlandse naam"", ""Systematisch niveau"", ""Status"", ""Standaardlijst 1996"", ""Familienummer"", ""Familienaam"", ""Genus"", ""Soort"", ""Ondersoort"", ""Flora Faunawet"", ""Doelsoort"", ""Soortbescherming"", ""Rode Lijst"", ""Rode Lijst uitgebreid"", ""Rode Lijst oud"", ""Rode Lijst opm oud"", ""Habitatrichtlijn 1"", ""Habitatrichtlijn 2"", ""Conventie van Bern"", ""Rode Lijst Europa"", ""Flora 1996"", ""UFK 1940"", ""UFK 1990"", ""Uurhok norm 1950"", ""Uurhok norm 1980"", ""Atlas"", ""Uurhok vari 1950"", ""Uurhok vari 1980"", ""Herkomst 1"", ""Herkomst 2"", ""Herkomst 3"", ""Standaardlijst Belgie"", ""Laatste waarneming"", ""Areaalligging"", ""Voorkomen M Europa"", ""Voorkomen N Europa"", ""Voorkomen W Europa"", ""Voorkomen O Europa"", ""Voorkomen ZO Europa"", ""Voorkomen Z Europa"", ""Voorkomen Holarctis"", ""Voorkomen Amerika"", ""Voorkomen Europa"", ""Voorkomen Azi\u00eb"", ""Bron Geogr 1"", ""Bron Geogr 2"", ""Bron Geogr 3"", ""Bron Geogr 4"", ""Noot Geogr 0"", ""Noot Geogr 1"", ""Hoogtegordel"", ""Noot Geogr 2"", ""Noot Geogr 3"", ""Noord Zuid as"", ""Oost West as"", ""Oecologische groep"", ""Ecologische groep"", ""Ecotoop 1"", ""Ecotoop 2"", ""Ecotoop 3"", ""Ecotoop 4"", ""Ecotoop 5"", ""Ecotoop 6"", ""Ecotoop 7"", ""Ecotoop 10"", ""Ecotoop 8"", ""Ecotoop 9"", ""Ecotoop amplitudo"", ""Vegetatie Ellenberg"", ""Vegetatie Westhoff"", ""Vegetatie Westhoff*"", ""Bestuiving 1"", ""Bestuiving 2"", ""Bestuiving 3"", ""Zelfbestuiving"", ""Carnivoor"", ""Wortelknolletje"", ""Levensvorm 1"", ""Groeivorm simpel"", ""Levensvorm 2"", ""Levensvorm 3"", ""Groeivorm 1"", ""Anatom bouw 1"", ""Groeivorm 2"", ""Groeivorm 3"", ""Anatom bouw 2"", ""Hoogte min"", ""Hoogte max"", ""Bladseizoen"", ""Hoogte extreem"", ""Stekels doornen"", ""Bladvorm"", ""Bloem geslacht"", ""Worteldiepte 1"", ""Worteldiepte 2"", ""Bloemkleur 1"", ""Bloemkleur 2"", ""Bloemkleur 3"", ""Bloemkleur*"", ""Vruchttype"", ""Vruchtkleur"", ""Zaadvorm"", ""Chromosoomgetal"", ""Levensduur 1"", ""Levensduur*"", ""Levensduur 2"", ""Monocarp"", ""Kiemtijd 1"", ""Kiemtijd*"", ""Kiemtijd 2"", ""Kiemtijd?"", ""Begin bloei"", ""Eind bloei"", ""Begin vrucht"", ""Eind vrucht"", ""Grondwater"", ""Stroming Min"", ""Stroming Max"", ""Stroming Extr"", ""Vocht Min"", ""Vocht Max"", ""Voedsel Min"", ""Voedsel Max"", ""Zuurgraad Min"", ""Zuurgraad Max"", ""Zout Min"", ""Zout Max"", ""Zink"", ""Licht Min"", ""Gebruik 1"", ""Licht Max"", ""Licht*"", ""Gebruik 2"", ""Duitse naam"", ""Gebruik 3"", ""Gebruik 4"", ""Engelse naam"", ""Franse naam""]";2956;radar
Id_level;3;"[""Id_level"", ""Description""]";19;radar
Onderdelen van Schakelbord;6;"[""SwitchboardID"", ""ItemNumber"", ""ItemText"", ""Command"", ""Argument""]";29;radar
Parts;3;"[""Part preserved"", ""Description""]";94;radar
Plakfouten;11;"[""F1"", ""F2"", ""F3"", ""F4"", ""F5"", ""F6"", ""F7"", ""F8"", ""F9"", ""F10""]";1168;radar
