tabel_naam;kolom_aantal;kolom_lijst;record_aantal;database_naam
TblSynoniemen;18;"[""Id"", ""DiersoortID"", ""synoniem soort1"", ""synoniem soort2"", ""synoniem soort3"", ""synoniem genus"", ""synoniem familie"", ""synoniem orde"", ""synoniem klasse"", ""synoniem stam"", ""synoniem rijk"", ""synoniem NL naam1"", ""synoniem NL naam2"", ""synoniem NL naam3"", ""synoniem EN naam1"", ""synoniem EN naam2"", ""synoniem EN naam3""]";1372;boneinfo
TblVerwerving;2;"[""Omschrijving""]";26;boneinfo
TblVerzamelwijze;3;"[""Omschrijving"", ""OmschrijvingCF""]";14;boneinfo
TblZoo_cluster;29;"[""Zoonr"", ""Waarnemingsnr"", ""Onderzoeksmeldingsnr"", ""Zaaknummer"", ""X_coord"", ""Y_coord"", ""Toponiem"", ""Plaats"", ""Gemeente"", ""Provincie"", ""Verwervingswijze"", ""Datum_einde_veldwerk"", ""Complextype"", ""Spoortype"", ""Begin_periode"", ""Beginjaar"", ""Eind_periode"", ""Eindjaar"", ""Opgravende_instantie"", ""Onderzoeksinstantie"", ""Onderzoeker"", ""Omvang"", ""Verzamelwijze"", ""Melder"", ""Datum_invoer"", ""Toelichting"", ""YYYYMMDD_datum_vondst"", ""Gewogen""]";2866;boneinfo
TblZoo_diersoort;19;"[""id"", ""Zoonr"", ""Volgnr"", ""SoortID"", ""Eigen_invoer_nieuwe_soort"", ""Zekerheid"", ""Aantal"", ""Artefacten_gevonden"", ""Leeftijdsgegevens_beschikbaar"", ""Maten_beschikbaar"", ""Bewerkingssporen_beschikbaar"", ""Geslachtskenmerken_beschikbaar"", ""Pathologie\u00ebn_beschikbaar"", ""Aanvullend_onderzoek"", ""Monsters_genomen_maar_nog_niet_geanalyseerd"", ""Speciale_depositie/graf"", ""Toelichting"", ""DepositienrList""]";33056;boneinfo
TblZoo_diersoort_grafs;3;"[""DiersoortID"", ""Depositienr""]";285;boneinfo
TblZoo_publicatie;9;"[""Zoonr"", ""Volgnr"", ""Auteursnaam"", ""Jaar"", ""Artikel_titel"", ""Boektitel"", ""Periodiek"", ""Deel""]";4598;boneinfo
TblZoo_publicatie_verbeterd;20;"[""Publicatienr"", ""Auteur 1"", ""Auteur 2"", ""Auteur 3"", ""Auteur 4"", ""Auteur 5"", ""Meer dan 5 auteurs"", ""Overige auteurs"", ""Redactie"", ""Jaar"", ""Artikel_titel"", ""Boektitel"", ""Periodiek"", ""Deel"", ""Paginanr"", ""Plaats van uitgave(Uitgever)"", ""PDF"", ""Bibliotheek plaatsingscode"", ""DOI""]";2011;boneinfo
TblZoo_publicatie_vs2;3;"[""Publicatienr"", ""Zoonr""]";5202;boneinfo
TblZoo_Speciale_depositie/graf;8;"[""Depositienr"", ""Type_gevonden_deposities"", ""aantal_gevonden"", ""aantal_onderzocht"", ""aantal_onderzochte_individuen"", ""aantal_resten"", ""opmerkingen""]";231;boneinfo
Weekdieren;29;"[""Soortnummer"", ""Groepnummer"", ""Wetenschappelijke naam"", ""Auteursnaam"", ""Nederlandse naam"", ""Subgroep"", ""Systematisch niveau"", ""Status 1"", ""Status 2"", ""Alleen Belgie"", ""Familienummer"", ""Familienaam"", ""Flora Faunawet"", ""Doelsoort"", ""Rode Lijst"", ""Rode Lijst uitgebreid"", ""Habitatrichtlijn 1"", ""Habitatrichtlijn 2"", ""Conventie van Bern"", ""Rode Lijst Europa"", ""IUCN"", ""Atlas landslak"", ""Atlas zoobenthos"", ""Biotoop 1"", ""Biotoop 2"", ""Voorkomen"", ""Duitse naam"", ""Engelse naam""]";626;boneinfo
wng;35;"[""WNG_NR"", ""MDG_ID"", ""EXTERN_NR"", ""V_PID"", ""V_NAAM"", ""V_WOONPL"", ""DATUM_V"", ""M_PID"", ""M_NAAM"", ""M_WOONPL"", ""DATUM_M"", ""B_PID"", ""B_NAAM"", ""B_WOONPL"", ""DATUM_B"", ""X_COORD"", ""Y_COORD"", ""TOPONIEM"", ""PLAATS"", ""GEMEENTE"", ""PROVINCIE"", ""VERWERV"", ""MAAIVELD"", ""GEOMORF"", ""TEXTUUR"", ""LENGTE"", ""BREEDTE"", ""O_DIEP_MAX"", ""NAP_MV"", ""V_DIEP_MIN"", ""V_DIEP_MAX"", ""INTACT_BOD"", ""OMG_NR"", ""BESCHRIJVING""]";88195;boneinfo
