;0
1775;1
1838;1
1989;1
1889;2
1945;5
1974;1
1779;1
1943;7
1898;2
1956;1
1940;12
1660;1
1899;2
1741;1
450;6
1799;2
1891;2
1627;1
1797;1
900;1
1683;1
1750;1
1720;1
1914;5
1904;2
1877;2
1892;1
1979;1
1880;3
1912;1
1689;1
1650;15
1886;1
1882;1
1760;1
1883;2
1848;1
1871;1
1897;1
1919;1
1803;1
1894;1
1975;1
1921;1
1936;1
1664;1
1901;2
1942;1
1850;14
1781;1
1728;1
1920;1
1770;2
1879;2
2019;2
1939;1
1866;1
1756;1
1967;1
1878;1
2000;2
1480;1
2011;1
1735;3
1909;3
1949;1
1908;4
1761;1
1675;1
1941;2
1947;1
1687;1
1881;3
1600;2
1865;1
1895;2
1911;2
1906;1
1918;4
1888;2
1917;6
1875;3
1951;1
1972;1
1618;1
1981;1
1966;1
1734;1
1916;6
1978;1
1944;5
1968;2
1500;18
1763;1
1420;1
1867;1
1962;1
1578;1
1860;1
1893;1
1853;1
1950;27
1923;1
1955;1
1937;1
2012;1
1900;5
1726;1
1729;1
1896;1
1752;1
1964;1
NULL;2343
