kolom_naam;record_aantal;tabel_naam;aantal_veldwaarden_met_null;aantal_lege_veldwaarde;aantal_veldwaarden_met_lege_lijst;totaal_aantal_veldwaarden;aantal_uunieke_veldwaarden;percentage_unieke_veldwaarden;kolom_is_leeg;veldwaarde_is_uuid;veldwaarde_is_url;veldwaarde_is_email;veldwaarde_is_int;veldwaarde_is_float;veldwaarde_is_bool;veldwaarde_is_dict;veldwaarde_bevat_html;veldwaarde_is_date;veldwaarde_is_str;aantal_decimalen;grootste_int_waarde;langste_str_waarde;primaire_sleutel;vreemde_sleutel;gerelateerde_tabel_naam;gerelateerde_kolom_naam
Sample nr;601;Plakfouten PLANTS ADC;0;0;0;601;320;0.53;False;0;0;0;601;0;0;0;0;0;0;0;5;0;false;false;;
Name;601;Plakfouten PLANTS ADC;0;0;0;601;159;0.26;False;0;0;0;0;0;0;0;0;0;601;0;0;54;false;false;;
Id_level;601;Plakfouten PLANTS ADC;0;0;0;601;13;0.02;False;0;0;0;0;0;0;0;0;0;601;0;0;5;false;false;;
Part preserved;601;Plakfouten PLANTS ADC;0;0;0;601;11;0.02;False;0;0;0;0;0;0;0;0;0;601;0;0;3;false;false;;
Pres mode;601;Plakfouten PLANTS ADC;0;0;0;601;4;0.01;False;0;0;0;0;0;0;0;0;0;601;0;0;1;false;false;;
Quantification;601;Plakfouten PLANTS ADC;0;0;0;601;56;0.09;False;0;0;0;0;601;0;0;0;0;0;1;4;0;false;false;;
Min_numb;601;Plakfouten PLANTS ADC;0;0;0;81;8;0.1;False;0;0;0;81;0;0;0;0;0;0;0;4;4;false;false;;
Max_numb;601;Plakfouten PLANTS ADC;0;0;0;81;9;0.11;False;0;0;0;81;0;0;0;0;0;0;0;4;4;false;false;;
Remarks;601;Plakfouten PLANTS ADC;0;0;0;91;2;0.02;False;0;0;0;0;0;0;0;0;0;91;0;0;4;false;false;;
