;0
1978;13
1971;3
1968;3
1980;16
1988;28
2008;61
1972;4
2019;40
2012;46
1955;1
1996;63
2017;25
2003;43
2009;81
2008/2009;1
0;7
1976;4
1966;2
1985;11
2005;63
1990;47
2000;36
2007;60
1953;3
1979;16
2010;76
1963;1
1984;14
1959;1
1961;6
1977;17
1969;3
1970;4
1967;4
2013;54
1982;13
1983;20
1994;56
2006/2007;1
2011;88
1981;15
1986;17
1962;6
2002;56
1987;13
2022;14
2004;44
2018;34
1992;58
2020;32
1993;45
1974;4
1997;75
2014;37
2016;34
2015;14
1991;45
2001;51
1989;26
1998;100
2006;82
1995;61
1975;5
1964;3
1999;73
2021;30
NULL;2
