-350001;60
-350000;4
-18000;5
-8800;15
-6450;7
-6000;1
-5600;2
-5550;1
-5500;2
-5300;46
-5255;1
-5150;1
-5100;1
-5050;1
-5000;2
-4900;9
-4700;1
-4300;3
-4200;28
-4038;1
-3700;1
-3653;1
-3630;4
-3550;1
-3500;1
-3490;1
-3450;1
-3400;11
-3331;1
-3000;3
-2950;3
-2945;1
-2900;2
-2850;75
-2830;1
-2800;1
-2650;1
-2500;5
-2450;15
-2400;1
-2300;3
-2200;1
-2000;59
-1950;1
-1879;1
-1800;63
-1700;2
-1610;1
-1600;2
-1550;6
-1500;4
-1400;1
-1395;4
-1389;1
-1376;1
-1200;3
-1100;48
-1000;2
-950;1
-920;1
-801;1
-800;126
-760;1
-700;2
-650;1
-600;2
-539;1
-500;77
-450;4
-400;8
-350;2
-330;1
-300;2
-250;71
-200;4
-120;1
-110;1
-100;6
-60;1
-50;7
-40;1
-25;1
-12;223
0;11
1;11
10;5
12;4
15;6
16;4
20;2
22;1
25;18
30;3
40;7
41;1
42;1
43;1
47;1
50;20
69;1
70;89
75;3
80;3
82;1
85;1
90;1
100;37
110;2
120;10
125;1
140;1
150;25
160;1
165;1
170;8
175;4
190;1
200;11
210;1
230;1
250;4
270;25
275;1
290;1
294;1
300;9
325;1
330;1
350;5
400;12
425;3
450;121
475;1
500;11
510;1
525;20
550;3
569;1
575;1
600;12
650;4
675;6
680;1
700;12
715;1
725;29
750;9
775;1
800;15
850;3
870;1
875;1
891;1
900;58
950;8
970;3
995;1
1000;30
1025;1
1040;1
1050;161
1070;1
1075;2
1100;37
1125;7
1150;6
1160;1
1163;1
1165;1
1170;3
1175;7
1200;51
1225;10
1232;1
1242;1
1250;88
1265;1
1270;1
1275;11
1280;1
1285;1
1286;1
1300;89
1310;1
1325;10
1335;1
1350;23
1373;1
1375;13
1377;1
1389;1
1392;2
1400;76
1401;1
1418;1
1420;1
1425;3
1438;1
1448;1
1450;27
1474;1
1475;7
1480;2
1500;117
1525;9
1529;2
1530;1
1536;1
1540;1
1550;19
1570;3
1571;1
1572;1
1573;1
1574;3
1575;23
1577;1
1580;5
1585;1
1590;2
1593;2
1596;1
1600;81
1601;1
1609;1
1610;4
1611;1
1613;2
1621;1
1625;8
1630;1
1633;1
1640;1
1645;1
1648;1
1650;34
1652;1
1660;1
1675;5
1680;1
1682;1
1690;1
1700;30
1705;1
1707;1
1725;2
1740;1
1742;1
1750;7
1760;1
1794;1
1800;11
1809;1
1825;1
1830;1
1850;11
1911;1
1944;1
1945;1
2875;1
3500;1
3900;1
9999;2
