;1980
Hart, A. (Abraham) van der;9
Haspels, D.J.;10
Havelaar;1
Heijmans, J.H.;2
Heisinger, C.;1
Heisinger, G.;2
Hendriks, J.;4
Hendriks, W.;1
Hennin, Henrik Christiaan;1
Hermans, A.;2
Hiltrop, J. v.;3
Hilverdink, J.;3
Hilverdink, Jacobus Wilhelmus Adrianus;4
Hissink, D.P.;1
Hoeling, I. of Hoding, I.;1
Hoeufft, E.;1
Hofkamp, W.C.A.;1
Hofstra, G.J.;1
Hofstra, G.J. ?;1
Holsteijn, Pieter;6
Holswilder, J.;1
Holtrop,;1
Homan van der Heide, G.;1
Hondius, J.F.;1
Honkoop, A. en Kallewier, A.;7
Honkoop, A.en Kallewier, A.;1
Hooft,;1
Hoog, P.C.;1
Hoogerheyden, E.;1
Hoogeveen, C.v.;1
Hooiberg & Zn, T.;1
Horneer, Teunis;2
Horsthuis, G.;1
Horsthuis, J.G.;6
Horsthuis, Johannes Gerardus;2
Hostein, E.;2
Hosteyn, P.;1
Hout, H.J. van den;1
Houttuyn, F.;2
Houtzagers, P.J.;6
Howe,;1
Howen;1
Howen,;4
Hulk, A.;1
Hulseboom, Gerrit;1
Hulswit, Fermont en Ed. Cuypers;1
Humbert, J.;2
IJver, P. en Smit, J.;1
Ingenohl, J.;1
J., D.;1
J., H.;1
J.B.D.G.;2
J.B.R.;1
J.D.;1
J.R.;1
J.W.;1
Jantzen F.G.zn, Ferdinand B.;1
Jantzen G.Z.zn, Ferdinand B.;1
Jelgersma, T.;1
Jennissen, L.U.J.;5
Jilter, E.A. ?;1
Jong, D. de;4
Jong, D. de ?;1
Jong, Dk. de;1
Jong, de;1
Jonkergouw, P.;1
Jonkergouw, P.?;1
Jonxis, P.H.;1
Judels, Gebr.;1
K., T.;1
Kaldenbach, J.A.;1
Kalma, F.;1
Kamp, J.;2
Kamp, J.B.;3
Kardol, P.C.;115
Kayser, J.;2
Keijers, A.J.;1
Keijser, G.J. de;2
Keldermans,;1
Kerkhoff, D.J.T.;1
Kessel, Johan van, of: Kessel, Jan van (III);1
Keun, H.;1
Kierdorff, J.M.;1
Kikkert, J.E.;1
Klinkenberg, K.;19
Kloek of Klock;1
Knuttel;6
Knuttel, D.;1
Kobell, H.;1
Kock, F.C.;2
Koehler, C.;1
Koekkoek, B.C.;1
Koekkoek, Barend Cornelis;1
Koff & zoon, J. de;1
Kok,;1
Kolb, J.M.;9
Kolb, J.M. en Knopfmacher,;1
Kolb, J.M. en Terwen, J.;1
Koning, Th.;2
Koningh, L. de;1
Koomans, H.;1
Koster, E.;4
Kribber, G.;1
Kromsigt, G.;1
Kroon, A.;1
Kruseman, A.C.;2
Kubes, G.J.;1
Kurz, G.M.;5
Kurz, J.M.;1
Kuyper, J.;1
Köhler, C.;1
La Fargue, P.C.;26
Laan, A. van der;8
Laars, Tiete van der;1
Lamberts, G.;4
Lamberts, Gerrit;1
Lamsvelt, J.;9
Lange, G.G.;74
Lange, J.P.;1
Langenhuysen, Gebr. J. & H.;1
Lankhout, L., & Co;1
Lankhout, S., & Co;37
Last,;1
Last, C.C.A.;3
Lauters, P.;2
Le Charpantie;1
Le Charpentier,;1
Leemans, C.;1
Leeuw jr, Oscar;1
Leeuw, Oscar;5
Lehmann, J.S.J.;1
Lemmelink, D.;2
Lennep, van;1
Leth, H. de;1
Lettinga Azn., A.;1
Liender, P. van;6
Liender, Paulus en Pieter Jan;3
Liender, Paulus en Pieter Jan van;3
Liender, Paulus van;3
Lier, Gebr. van;3
Lier, van;1
Liesland, H.B. van;3
Linkerken, Rudolp R. van der ?;1
Lith, H.M.;1
Lobatto Rzn, J.;1
Loman jr, J.C.;2
Loman, J.C.;3
Lomans Bzn, H.B.;3
Loosjes, A. (Adriaan Pz.);1
Lovering & Allart;1
Luijken, Van;2
Lutz, A.;4
M., C.;1
M., C.F.;1
M.B.;1
Maas, P.V. (van);3
Maaskamp, E.;12
Magnien, J. (Jacques);1
Malmberg, L.C.G.;1
Malsen, Gebr. van;1
Marchand, C.A.;7
Margry, A.A.J.;2
Margry, E.J.;6
Margry, Gebr. & Snickers;1
Maris, M.;1
Maronier, J.A.;11
Marot, Daniël;7
Martin, H.;1
Marès, F.;1
Meer Derval, A. ter;2
Meer jr, N.van der;2
Meer, N. v.d.;2
Meer, N.v.d.;8
Meer-Derval, A. ter;3
Meij van Alkemade, E. de;1
Mengelberg, Ed. & W.;6
Mesker, J.J.;9
Metzelaar,;1
Metzelaar, Fock en Hooft van Iddekinge;1
Meyer, A.;1
Milatz, F.A.;1
Milatz, Franciscus Andreas;3
Milheusser, L.;1
Molenaar, Nic.;21
Molijn, Pieter de;1
Moor, Chris de;1
Mourik, B.;1
Muilman, Hendrik;1
Mulder Verlint;1
Mulder, A.;2
Mulder, J.;2
Mulder, P.J.;3
Nader, L.I.;1
Neijts, Gillis;1
Nicolosi, Luciano;4
Nieukerken, Van;1
Nieukerkn, van;1
Nieuwhoff, W.;2
Nieuwland, A. van;1
Noordendorp, A.;1
Notemans, Corn.;1
Nunnink, A.C.;2
Obernetter, J.B.;1
Oeder, L.;6
Oger, Albert Louis;2
Oltmans jr, Alexander;342
Oltmans, J.F.;1
Onnes, H.;4
Oomkens, J.;2
Oosterhuis, H.P.;1
Ottens, I.;2
Ottens, R. en J.;1
Oudaan, J.;1
Outshoorn, C.;1
Ouwater, Isaac;2
P. Schenck;1
P., C.;4
P., I.;1
Pannebacker, F.;1
Pannebakker, F.;1
Pavert, R.A. van de;1
Peeters, Ioannes;2
Peteri, B.;1
Peters, C.H.;4
Peters, Charles;1
Peters, G.;1
Petersen, C.H.;1
Petyt, J.;1
Philippe, P.;1
Philips Jacobs, C.;2
Philips Jacobsz, C.;1
Philips jacobsz., C.;1
Philips, C.;3
Philips, J. C.;1
Philips, J.C.;40
Philips, J.C. ?;1
Philps, J.C.;1
Picart, B.;3
Pieneman, Jan Willem;3
Poggeman, J.;2
Poppel, J.;10
Poppel, Joh.;16
Por, J. (Jacob);374
Post, P.;70
Post, Pieter;2
Praetorius, Pieter Ernst Hendrik;1
Presber;1
Pronk, C. (Cornelis);121
Prooijen, A.G.;1
Punt, J.;8
Putter, A. de;1
Quack, J. de;1
Quilinus;1
Rademaker, A. (Abraham);54
Rademaker, A. ?;9
Rademaker, A.?;2
Radigues, A.;7
Ransonette, N.;1
Reder, J.W.;1
Redtenbacher, R.;3
Reijgers, J.H.;1
Reijnders Sz, J.;1
Reusscher, T.;1
Reynders Sz., J.;1
Richter, A.;1
Richter, J.;3
Riegel, J.G.;1
Riegel, J.M.;1
Riemsdijk, B. van;3
Riemsdijk, B. van ?;1
Riemsdijk, B.W. F. van;1
Riemsdijk, B.W.F.;1
Riemsdijk, B.W.P. van;1
Riemsdijk, van;19
Riemsdijk, van ?;4
Rijcken, Jacq.;1
Roeloffzen & Hübner;1
Roemer, Hermann;1
Roest, T.P.;13
Roeterink, Reinier Evert Johannes;5
Roghman, R.;1
Roghman, Roeland;2
Rogier, Moïse en Haksteen, A.W. ?;1
Rohbock, L.;44
Rohbrock, L.;2
Roman, P.J.;20
Roman, Z.;1
Rose, W.N.;2
Rozema, H.W.;4
Run, S.;1
Rycken, Jacq.;1
S., J. van;1
S., J.v.;1
S., W.;1
Saenredam, Pieter Janszoon;6
Saftleven, Herman II;2
Sallieth, M.;2
Sandt, Anton van der;3
Schaependael, D.;1
Schaepkens, Alexandre;3
Schaepkens, Arnaud;2
Scheepens, W.C.L.A.;2
Scheerus, P.A.;1
Schenck, P.;4
Schenk, Pet.;4
Scheurleer F.Z., H.;11
Schierbeek, R.J.;1
Schijndel, J. van ?;1
Schijndel, J.v.;1
Schijnvoet, J. (Jacobus);64
Schipperus, P.A.;1
Schley, P.V.D.;2
Schluymer, M.;1
Schoonekamp, Dick;6
Schouman, A. (Aert);4
Schouman, M.;1
Schoute, H.;4
Schouten, F.;1
Schouten, H.;14
Schouten, H.P. (Hermanus Petrus);1
Schouten, J.;1
Schutz, J.;1
Schutz, J.F.;11
Schwartzenbach, J.;1
Schüler, Ch.;1
Schüler, Chr.;13
Senus, W. van;1
Sibelius, G.;1
Siderius, H.;1
Sigaud en zoon, Cles;2
Sigault Czn, Fcois;2
Sigault, C.;1
Sikemeier, J.H.;1
Sipman, A.P. (Antoon Peter);117
Slager, P.;1
Smeets, Emm.;2
Smit, J.;6
Smith, P.;2
Solingen, J. van;1
Son, S. van;1
Soonius, Louis;1
Sorjons, F.;8
Spanier & Zn., Wed. E.;1
Sparreboom, Cornelis Jansz.;1
Specht, C. (Caspar);3
Spek, J.C.;1
Spilman, H. (Hendrik);154
Spilman, H. ?;8
Spilman, Hendricus;9
Spoon, A.;5
Sprenger, W.;19
Springer, C.;1
Springer, L.;1
Spyk, J.v.d.;1
Stechwey, A. en Turpin;1
Steendrukkerij C.W. Mieling;5
Stellingwerf, J.;1
Stellingwerf, Jacobus;22
Sterk, F.P.;4
Steuerwald en Co, van;3
Steuerwald, I.D.;1
Steuerwald, J.D.;4
