911;15
;0
407;12
001;15
202;16
909;32
605;37
604;25
602;14
801;6
301;46
502;29
506;5
302;16
404;7
204;14
c;3
613;9
601;19
401;16
307;13
305;19
907;26
312;41
101;12
908;19
201;8
003;23
614;14
806;15
901;9
701;16
504;8
203;20
005;8
804;12
902;18
618;7
309;10
310;27
703;24
612;25
611;25
402;24
503;34
617;15
004;10
002;10
008;8
608;31
406;8
802;7
912;21
603;22
805;9
303;26
405;24
704;19
311;8
803;38
308;23
607;27
304;34
705;14
501;12
616;18
903;10
007;11
306;27
610;19
904;20
606;25
905;25
205;8
609;9
906;22
702;11
910;5
006;8
615;17
505;33
403;22
NULL;1507
