;0
75;2
1280;1
1675;2
4950;1
1739;1
1325;5
1300;48
1424;1
ROMV;2
-4353;1
-3381;2
1850;15
1320;1
-7955;1
1575;10
-12;51
1362;1
1434;1
1815;1
-100;3
-2470;1
240;3
-3630;1
1220;2
-1800;17
1625;4
1520;1
-4000;2
600;3
1583;1
VMEB;2
1050;21
1913;1
170;1
1404;1
-3300;1
-550;1
-3380;2
1840;1
1425;4
-2450;18
350;3
-2200;1
-7800;1
500;2
BRONSM;1
1998;2
1550;19
ROM;10
768;1
1638;1
1910;1
-2300;3
63;1
1749;1
-3980;1
341;1
1900;33
1601;1
IJZ;2
1574;1
1680;1
-5300;2
-40;1
750;1
-3900;1
-3000;1
2008;2
666;1
800;10
967;1
1015;1
2003;1
ME;4
0;1
-4050;1
1600;33
1786;1
-250;18
2000;5
-2620;1
300;19
-5639;1
-3820;1
VME;3
1000;14
175;2
1260;1
-2000;11
1250;27
-1250;4
1375;2
-2400;3
1771;1
1660;3
-3910;1
1775;4
1676;1
-800;32
-1100;21
-400;5
1981;1
260;1
1800;41
270;16
-5100;1
725;7
-1700;1
1750;14
1100;7
900;22
-1220;1
-3600;3
831;1
700;4
-1415;1
IJZL;4
50;2
1650;24
1782;1
-2500;5
957;1
-4300;1
-2900;5
-1300;1
-3400;1
1936;1
250;12
875;1
1351;2
1610;1
-900;3
1785;1
VMEC;2
1996;1
BRONSL;1
825;1
-200;11
-25;7
1570;1
1275;1
NTA;1
1630;1
-6598;1
270?;2
1225;6
-5490;1
NTB;5
LME;12
-3550;1
-1900;1
1950;5
351;1
-600;2
1199;1
449;1
250?;1
1400;33
ROMM;2
NTC;8
1720;1
-4200;6
-4500;1
-1530;1
IJZV;4
1500;117
-6000;3
400;6
-2600;1
-1114;1
LMEA;6
1827;1
1526;1
1767;1
1525;7
1975;1
1825;3
70;7
-3525;1
-525;2
1760;1
1700;37
1859;1
-685;1
-6450;1
1350;5
1725;4
1590;1
-500;27
100;12
220;1
-4790;1
1475;3
-844;1
125;3
-1;1
-4450;1
2007;1
30;1
-50;4
1200;45
PALEO;1
VMED;1
450;100
LMEB;9
950;2
150;3
-431;1
-1200;9
200;27
1799;1
1620;1
1150;4
225;4
1880;1
-5400;2
-4900;13
425;2
1286;1
-2850;4
1925;1
-3700;1
-5000;1
-160;1
1995;1
1450;9
1395;1
1374;2
NT;68
1740;1
NULL;17
