tabel_naam;kolom_aantal;kolom_lijst
bt;152;["Afmetingen (vrij veld)", "Alternatief of historisch nummer-Alternatief nummer", "Alternatief of historisch nummer-modified_by-active", "Alternatief of historisch nummer-modified_by-admin", "Alternatief of historisch nummer-modified_by-displayname", "Alternatief of historisch nummer-modified_by-email", "Alternatief of historisch nummer-modified_by-username", "Alternatief of historisch nummer-modified_by-uuid", "Alternatief of historisch nummer-modified_time", "Alternatief of historisch nummer-ordering", "Alternatief of historisch nummer-Soort alternatief nummer", "Alternatief of historisch nummer-uuid", "Beschrijving", "Breedte", "Collectie", "Coordinates-address", "Coordinates-geodata", "Coordinates-lat", "Coordinates-lng", "Coordinates-modified_by_active", "Coordinates-modified_by_admin", "Coordinates-modified_by_displayname", "Coordinates-modified_by_email", "Coordinates-modified_by_username", "Coordinates-modified_by_uuid", "Coordinates-modified_time", "Coordinates-ordering", "Coordinates-uuid", "Coordinates-wkt", "Coordinates-zoom", "Creative_commons", "Documentnummer", "Exclusion_status", "Hoofdcollectie", "Hoogte", "Interne_opmerkingen", "Invoerbron", "Linked_media-filesize", "Linked_media-folder", "Linked_media-mimetype", "Linked_media-name", "Linked_media-uuid", "modified_by_active", "modified_by_admin", "modified_by_displayname", "modified_by_email", "modified_by_username", "modified_by_uuid", "modified_time", "Monumenten_en_locaties-modified_by_active", "Monumenten_en_locaties-modified_by_admin", "Monumenten_en_locaties-modified_by_displayname", "Monumenten_en_locaties-modified_by_email", "Monumenten_en_locaties-modified_by_username", "Monumenten_en_locaties-modified_by_uuid", "Monumenten_en_locaties-modified_time", "Monumenten_en_locaties-Monument_Object-Adlib_priref_locatie", "Monumenten_en_locaties-Monument_Object-Complexnummer", "Monumenten_en_locaties-Monument_Object-Coordinaten_object_X", "Monumenten_en_locaties-Monument_Object-Coordinaten_object_Y", "Monumenten_en_locaties-Monument_Object-Huisnummer_toevoeging", "Monumenten_en_locaties-Monument_Object-Land", "Monumenten_en_locaties-Monument_Object-modified_by_active", "Monumenten_en_locaties-Monument_Object-modified_by_admin", "Monumenten_en_locaties-Monument_Object-modified_by_displayname", "Monumenten_en_locaties-Monument_Object-modified_by_email", "Monumenten_en_locaties-Monument_Object-modified_by_username", "Monumenten_en_locaties-Monument_Object-modified_by_uuid", "Monumenten_en_locaties-Monument_Object-modified_time", "Monumenten_en_locaties-Monument_Object-ordering", "Monumenten_en_locaties-Monument_Object-Situering", "Monumenten_en_locaties-Monument_Object-Toponiem", "Monumenten_en_locaties-Monument_Object-uuid", "Monumenten_en_locaties-ordering", "Monumenten_en_locaties-uuid", "Naam_invoerder", "Opmerkingen", "Opmerkingen reden uitsluiting", "Opmerkingen vervaardigingsdatum", "ordering", "Persoonstrefwoord", "Rechten_bijzonderheden", "Rechthebbende", "Record_notes-modified_by_active", "Record_notes-modified_by_admin", "Record_notes-modified_by_displayname", "Record_notes-modified_by_email", "Record_notes-modified_by_username", "Record_notes-modified_by_uuid", "Record_notes-modified_time", "Record_notes-notes", "Record_notes-uuid", "Record_notes-veldnaam", "Reden_uitsluiting", "Reproductie_opmerkingen", "Scheepswrak-Archis number", "Scheepswrak-Build year end", "Scheepswrak-Build year notes", "Scheepswrak-Build year start", "Scheepswrak-Depot location", "Scheepswrak-Excevation year", "Scheepswrak-Load", "Scheepswrak-modified_time", "Scheepswrak-Municipality", "Scheepswrak-Notes", "Scheepswrak-ordering", "Scheepswrak-Place", "Scheepswrak-Priref", "Scheepswrak-Province", "Scheepswrak-Ship name", "Scheepswrak-Shipwreck", "Scheepswrak-Toponym", "Scheepswrak-uuid", "Soort_document", "Taal van inscriptie", "Techniek", "Toon_alleen_intern", "Trefwoord", "Trefwoord_thesaurus-identifier", "Trefwoord_thesaurus-term", "Type_rechten", "uuid", "Vervaardiger-modified_by_active", "Vervaardiger-modified_by_admin", "Vervaardiger-modified_by_displayname", "Vervaardiger-modified_by_email", "Vervaardiger-modified_by_username", "Vervaardiger-modified_by_uuid", "Vervaardiger-modified_time", "Vervaardiger-Naam-Geboortedatum", "Vervaardiger-Naam-Historie", "Vervaardiger-Naam-Kwalificatie", "Vervaardiger-Naam-modified_by-active", "Vervaardiger-Naam-modified_by-admin", "Vervaardiger-Naam-modified_by-displayname", "Vervaardiger-Naam-modified_by-email", "Vervaardiger-Naam-modified_by-username", "Vervaardiger-Naam-modified_by-uuid", "Vervaardiger-Naam-modified_time", "Vervaardiger-Naam-Naam", "Vervaardiger-Naam-ordering", "Vervaardiger-Naam-Overlijdensdatum", "Vervaardiger-Naam-uuid", "Vervaardiger-ordering", "Vervaardiger-Role", "Vervaardiger-uuid", "Vervaardigingsdatum begin (jjjj-mm-dd)", "Vervaardigingsdatum eind (jjjj-mm-dd)", "Verwijzing_naar_URL", "Verwijzing_naar_website", "Vindplaats_Depot", "Voeg_toe_aan_indexer"]
fd;166;["Aanvraagdatum uitsluiting", "Aanvrager uitsluiting", "Afmetingen (vrij veld)", "Alternatief of historisch nummer-Alternatief nummer", "Alternatief of historisch nummer-modified_by-active", "Alternatief of historisch nummer-modified_by-admin", "Alternatief of historisch nummer-modified_by-displayname", "Alternatief of historisch nummer-modified_by-email", "Alternatief of historisch nummer-modified_by-username", "Alternatief of historisch nummer-modified_by-uuid", "Alternatief of historisch nummer-modified_time", "Alternatief of historisch nummer-ordering", "Alternatief of historisch nummer-Soort alternatief nummer", "Alternatief of historisch nummer-uuid", "Archis-onderzoeksmeldingnummer", "Auteur documentatie", "Behandelaar uitsluiting", "Behandelingsdatum uitsluiting", "beschrijving", "Beschrijving opschrift", "breedte", "collectie", "Coordinates-address", "Coordinates-geodata", "Coordinates-lat", "Coordinates-lng", "Coordinates-modified_by_active", "Coordinates-modified_by_admin", "Coordinates-modified_by_displayname", "Coordinates-modified_by_email", "Coordinates-modified_by_username", "Coordinates-modified_by_uuid", "Coordinates-modified_time", "Coordinates-ordering", "Coordinates-uuid", "Coordinates-wkt", "Coordinates-zoom", "Co\u00f6rdinaten object X", "Co\u00f6rdinaten object Y", "creative_commons", "documentnummer", "downloadbaar", "exclusion_status", "Georefereren Beeldbank", "hoofdcollectie", "hoogte", "interne_opmerkingen", "Linked_media-filesize", "Linked_media-folder", "Linked_media-mimetype", "Linked_media-name", "Linked_media-uuid", "Locatie documentatie", "modified_by_active", "modified_by_admin", "modified_by_displayname", "modified_by_email", "modified_by_username", "modified_by_uuid", "modified_time", "Monumenten_en_locaties-modified_by_active", "Monumenten_en_locaties-modified_by_admin", "Monumenten_en_locaties-modified_by_displayname", "Monumenten_en_locaties-modified_by_email", "Monumenten_en_locaties-modified_by_username", "Monumenten_en_locaties-modified_by_uuid", "Monumenten_en_locaties-modified_time", "Monumenten_en_locaties-Monument_Object-Adlib_priref_locatie", "Monumenten_en_locaties-Monument_Object-Complexnummer", "Monumenten_en_locaties-Monument_Object-Coordinaten_object_X", "Monumenten_en_locaties-Monument_Object-Coordinaten_object_Y", "Monumenten_en_locaties-Monument_Object-Huisnummer_toevoeging", "Monumenten_en_locaties-Monument_Object-Land", "Monumenten_en_locaties-Monument_Object-modified_by_active", "Monumenten_en_locaties-Monument_Object-modified_by_admin", "Monumenten_en_locaties-Monument_Object-modified_by_displayname", "Monumenten_en_locaties-Monument_Object-modified_by_email", "Monumenten_en_locaties-Monument_Object-modified_by_username", "Monumenten_en_locaties-Monument_Object-modified_by_uuid", "Monumenten_en_locaties-Monument_Object-modified_time", "Monumenten_en_locaties-Monument_Object-ordering", "Monumenten_en_locaties-Monument_Object-Situering", "Monumenten_en_locaties-Monument_Object-Toponiem", "Monumenten_en_locaties-Monument_Object-uuid", "Monumenten_en_locaties-ordering", "Monumenten_en_locaties-uuid", "naam_invoerder", "opdrachtnummer", "opmerkingen", "Opmerkingen vervaardigingsdatum", "opschrift_inhoud", "opschrift_soort", "ordering", "Pagina referentie documentatie", "persoonstrefwoord", "projectcode", "rechten_bijzonderheden", "rechthebbende", "Record_notes-modified_by_active", "Record_notes-modified_by_admin", "Record_notes-modified_by_displayname", "Record_notes-modified_by_email", "Record_notes-modified_by_username", "Record_notes-modified_by_uuid", "Record_notes-modified_time", "Record_notes-notes", "Record_notes-uuid", "Record_notes-veldnaam", "reden_uitsluiting", "Scheepswrak-Archis number", "Scheepswrak-Build year end", "Scheepswrak-Build year notes", "Scheepswrak-Build year start", "Scheepswrak-Depot location", "Scheepswrak-Excevation year", "Scheepswrak-Load", "Scheepswrak-modified_time", "Scheepswrak-Municipality", "Scheepswrak-Notes", "Scheepswrak-ordering", "Scheepswrak-Place", "Scheepswrak-Priref", "Scheepswrak-Province", "Scheepswrak-Ship name", "Scheepswrak-Shipwreck", "Scheepswrak-Toponym", "Scheepswrak-uuid", "soort_document", "techniek", "Titel documentatie", "toon_alleen_intern", "trefwoord", "Trefwoord_thesaurus-identifier", "Trefwoord_thesaurus-term", "type_rechten", "uuid", "Vervaardiger-modified_by_active", "Vervaardiger-modified_by_admin", "Vervaardiger-modified_by_displayname", "Vervaardiger-modified_by_email", "Vervaardiger-modified_by_username", "Vervaardiger-modified_by_uuid", "Vervaardiger-modified_time", "Vervaardiger-ordering", "Vervaardiger-Role", "Vervaardiger-uuid", "Vervaardiger-Vervaardiger-Geboortedatum", "Vervaardiger-Vervaardiger-Historie", "Vervaardiger-Vervaardiger-Kwalificatie", "Vervaardiger-Vervaardiger-modified_by_active", "Vervaardiger-Vervaardiger-modified_by_admin", "Vervaardiger-Vervaardiger-modified_by_displayname", "Vervaardiger-Vervaardiger-modified_by_email", "Vervaardiger-Vervaardiger-modified_by_username", "Vervaardiger-Vervaardiger-modified_by_uuid", "Vervaardiger-Vervaardiger-modified_time", "Vervaardiger-Vervaardiger-Naam", "Vervaardiger-Vervaardiger-ordering", "Vervaardiger-Vervaardiger-Overlijdensdatum", "Vervaardiger-Vervaardiger-uuid", "Vervaardigingsdatum begin (jjjj-mm-dd)", "Vervaardigingsdatum eind (jjjj-mm-dd)", "verwijzing_naar_url", "verwijzing_naar_website", "Vindplaats depot", "voeg_toe_aan_indexer"]
pot;141;["Alternatief_nummer-Alternatief_nummer", "Alternatief_nummer-modified_by_active", "Alternatief_nummer-modified_by_admin", "Alternatief_nummer-modified_by_displayname", "Alternatief_nummer-modified_by_email", "Alternatief_nummer-modified_by_username", "Alternatief_nummer-modified_by_uuid", "Alternatief_nummer-modified_time", "Alternatief_nummer-ordering", "Alternatief_nummer-Soort_alternatief_nummer", "Alternatief_nummer-uuid", "beschrijving", "breedte", "collectie", "content_date_end", "content_date_start", "Coordinates-address", "Coordinates-geodata", "Coordinates-lat", "Coordinates-lng", "Coordinates-modified_by_active", "Coordinates-modified_by_admin", "Coordinates-modified_by_displayname", "Coordinates-modified_by_email", "Coordinates-modified_by_username", "Coordinates-modified_by_uuid", "Coordinates-modified_time", "Coordinates-ordering", "Coordinates-uuid", "Coordinates-wkt", "Coordinates-zoom", "creative_commons", "documentnummer", "exclusion_status", "hoofdcollectie", "hoogte", "interne_opmerkingen", "invoerbron", "Linked_media-filesize", "Linked_media-folder", "Linked_media-mimetype", "Linked_media-name", "Linked_media-uuid", "modified_by_active", "modified_by_admin", "modified_by_displayname", "modified_by_email", "modified_by_username", "modified_by_uuid", "modified_time", "Monumenten_en_locaties-modified_by_active", "Monumenten_en_locaties-modified_by_admin", "Monumenten_en_locaties-modified_by_displayname", "Monumenten_en_locaties-modified_by_email", "Monumenten_en_locaties-modified_by_username", "Monumenten_en_locaties-modified_by_uuid", "Monumenten_en_locaties-modified_time", "Monumenten_en_locaties-Monument_Object-Adlib_priref_locatie", "Monumenten_en_locaties-Monument_Object-Complexnummer", "Monumenten_en_locaties-Monument_Object-Coordinaten_object_X", "Monumenten_en_locaties-Monument_Object-Coordinaten_object_Y", "Monumenten_en_locaties-Monument_Object-Huisnummer_toevoeging", "Monumenten_en_locaties-Monument_Object-Land", "Monumenten_en_locaties-Monument_Object-modified_by_active", "Monumenten_en_locaties-Monument_Object-modified_by_admin", "Monumenten_en_locaties-Monument_Object-modified_by_displayname", "Monumenten_en_locaties-Monument_Object-modified_by_email", "Monumenten_en_locaties-Monument_Object-modified_by_username", "Monumenten_en_locaties-Monument_Object-modified_by_uuid", "Monumenten_en_locaties-Monument_Object-modified_time", "Monumenten_en_locaties-Monument_Object-ordering", "Monumenten_en_locaties-Monument_Object-Situering", "Monumenten_en_locaties-Monument_Object-Toponiem", "Monumenten_en_locaties-Monument_Object-uuid", "Monumenten_en_locaties-ordering", "Monumenten_en_locaties-uuid", "naam_invoerder", "opmerkingen", "opmerking_bij_titel", "opschrift_datum", "opschrift_inhoud", "opschrift_soort", "opschrift_taal", "ordering", "persoonstrefwoord", "rechten_bijzonderheden", "rechthebbende", "recordtype", "Record_notes-modified_by_active", "Record_notes-modified_by_admin", "Record_notes-modified_by_displayname", "Record_notes-modified_by_email", "Record_notes-modified_by_username", "Record_notes-modified_by_uuid", "Record_notes-modified_time", "Record_notes-notes", "Record_notes-uuid", "Record_notes-veldnaam", "reden_uitsluiting", "reproductie_opmerkingen", "reproductie_referentie", "soort_document", "techniek", "titel", "toon_alleen_intern", "trefwoord", "Trefwoord_thesaurus-identifier", "Trefwoord_thesaurus-term", "type_rechten", "uuid", "Vervaardiger-modified_by_active", "Vervaardiger-modified_by_admin", "Vervaardiger-modified_by_displayname", "Vervaardiger-modified_by_email", "Vervaardiger-modified_by_username", "Vervaardiger-modified_by_uuid", "Vervaardiger-modified_time", "Vervaardiger-ordering", "Vervaardiger-Role", "Vervaardiger-uuid", "Vervaardiger-Vervaardiger-Geboortedatum", "Vervaardiger-Vervaardiger-Historie", "Vervaardiger-Vervaardiger-Kwalificatie", "Vervaardiger-Vervaardiger-modified_by_active", "Vervaardiger-Vervaardiger-modified_by_admin", "Vervaardiger-Vervaardiger-modified_by_displayname", "Vervaardiger-Vervaardiger-modified_by_email", "Vervaardiger-Vervaardiger-modified_by_username", "Vervaardiger-Vervaardiger-modified_by_uuid", "Vervaardiger-Vervaardiger-modified_time", "Vervaardiger-Vervaardiger-Naam", "Vervaardiger-Vervaardiger-ordering", "Vervaardiger-Vervaardiger-Overlijdensdatum", "Vervaardiger-Vervaardiger-uuid", "vervaardigingsdatum_begin", "vervaardigingsdatum_eind", "vervaardigingsdatum_opmerkingen", "verwijzing_naar_url", "verwijzing_naar_website", "vindplaats_depot", "voeg_toe_aan_indexer"]
